Ei,E,dq,E_width
30.0,27.0,-2.90494545456,0.505688955898
30.0,25.5,-2.75673151753,0.547981453059
30.0,24.0,-2.67318007665,0.601466041674
30.0,22.5,-2.57976284587,0.663613143058
30.0,21.0,-2.47819672133,0.732406530375
30.0,19.5,-2.37248908299,0.806333928553
30.0,18.0,-2.29671232879,0.884277321523
30.0,16.5,-2.24133971294,0.965432315383
30.0,15.0,-2.17958333335,1.04921426247
30.0,13.5,-2.17520958086,1.13516952553
30.0,12.0,-2.11469135804,1.22297969475
30.0,10.5,-2.06823529414,1.31236632551
30.0,9.0,-1.96347826089,1.4030808063
30.0,7.5,-1.9041758242,1.49494067248
30.0,1.875,-3.91500000002,1.85530307643
30.0,0.9375,-4.68000000002,1.91757772175
30.0,0.46875,-4.58363636366,1.94809386855
30.0,0.234375,-5.07636363638,1.96410857872
60.0,54.0,-4.09588688948,1.28863674194
60.0,51.0,-3.90816216218,1.3652609064
60.0,48.0,-3.79446575344,1.4639908187
60.0,45.0,-3.66515235459,1.58130964469
60.0,42.0,-3.49846607672,1.71407010604
60.0,39.0,-3.37914373091,1.85953619406
60.0,36.0,-3.26987096776,2.01559012396
60.0,33.0,-3.17024390246,2.18052126978
60.0,30.0,-3.17390681006,2.3529037959
60.0,27.0,-3.07258064518,2.53181667007
60.0,24.0,-2.9543497758,2.71627228817
60.0,21.0,-3.01068062829,2.90561794786
60.0,18.0,-2.88060975612,3.09895756049
60.0,15.0,-2.75686567166,3.29563925379
60.0,3.75,-5.20800000002,4.09290350848
60.0,1.875,-6.66758620692,4.2379522654
60.0,0.9375,-6.80363636365,4.30704104207
60.0,0.46875,-6.71384615386,4.34092706812
125.0,112.5,-5.90812834226,3.63149037595
125.0,106.25,-5.6470809793,3.78097972251
125.0,100.0,-5.46161958571,3.97613903958
125.0,93.75,-5.23788053952,4.21283375233
125.0,87.5,-5.07614604464,4.48630099404
125.0,81.25,-4.87028077756,4.79273122991
125.0,75.0,-4.68414253899,5.12801025261
125.0,68.75,-4.55846889954,5.48845174253
125.0,62.5,-4.56279301748,5.8708379594
125.0,56.25,-4.44157746481,6.27335339452
125.0,50.0,-4.25893081763,6.69299874594
125.0,43.75,-4.272398524,7.12761587264
125.0,37.5,-4.17016393445,7.57469539338
125.0,31.25,-4.06142857145,8.03165232953
125.0,12.5,-6.69230769233,9.58775501088
125.0,7.8125,-8.21076923079,10.0309865895
125.0,3.90625,-9.77400000002,10.403942644
125.0,1.953125,-9.26769230771,10.5624990713
125.0,0.9765625,-9.74352941178,10.658415021
250.0,225.0,-8.36145545799,9.92472111877
250.0,212.5,-7.96807436921,10.2231188944
250.0,200.0,-7.70663129975,10.6154695659
250.0,187.5,-7.44495912808,11.0983021135
250.0,175.0,-7.18515021461,11.6664018433
250.0,162.5,-6.9407656968,12.313702958
250.0,150.0,-6.67965023849,13.0343691951
250.0,137.5,-6.56391891894,13.8191697623
250.0,125.0,-6.38182468696,14.6648295746
250.0,112.5,-6.30019646367,15.5627903106
250.0,100.0,-6.12374164813,16.5078018948
250.0,87.5,-5.91007672636,17.4910262852
250.0,75.0,-5.89274285716,18.5089445778
250.0,62.5,-5.9084671533,19.5574166781
250.0,15.625,-12.0025,24.716007999
250.0,7.8125,-13.918,25.7179646833
250.0,3.90625,-13.4123809524,26.0982229244
250.0,1.953125,-12.174,26.1873148172
500.0,450.0,-11.8177422222,27.4967671659
500.0,425.0,-11.287754717,28.1117101693
500.0,400.0,-10.9209962406,28.9299150875
500.0,375.0,-10.5243368829,29.9551579268
500.0,350.0,-10.1565217391,31.1797396051
500.0,325.0,-9.75918015104,32.5990756653
500.0,300.0,-9.39025813694,34.1988024281
500.0,275.0,-9.18370192309,35.9559846501
500.0,250.0,-9.06421446386,37.8626807235
500.0,225.0,-8.83193820227,39.9113531845
500.0,200.0,-8.60660347553,42.0761856592
500.0,175.0,-8.57467391306,44.3449659474
500.0,150.0,-8.3136863544,46.681644121
500.0,125.0,-8.3592820513,49.117387177
500.0,50.0,-12.5136363637,59.0327000865
500.0,31.25,-17.638125,63.5872381587
500.0,15.625,-19.6847619048,66.3724539357
500.0,7.8125,-18.8933333333,67.2159902964
500.0,3.90625,-19.7563636364,68.0343298132
1000.0,900.0,-16.7153059937,76.5469947105
1000.0,850.0,-15.9565824468,77.7242789074
1000.0,800.0,-15.4443617021,79.3462339661
1000.0,750.0,-14.8689312458,81.459937372
1000.0,700.0,-14.356409156,84.0419182014
1000.0,650.0,-13.8499003832,87.0931908269
1000.0,600.0,-13.3287955626,90.5996141712
1000.0,550.0,-13.0067006803,94.484698709
1000.0,500.0,-12.8392021277,98.7401216128
1000.0,450.0,-12.4951881188,103.381846064
1000.0,400.0,-12.3061862528,108.334134321
1000.0,350.0,-12.0000508259,113.563262422
1000.0,300.0,-11.8812068966,119.071001328
1000.0,250.0,-11.6895748614,124.789757077
1000.0,62.5,-23.6244444445,165.35928856
1000.0,31.25,-27.068,174.715328971
1000.0,15.625,-27.0955102041,177.599846895
1000.0,7.8125,-26.4276190476,178.3115603
