Ei,E,dq,E_width
30.0,27.0,-2.90494545456,0.417802329788
30.0,25.5,-2.75673151753,0.46553880999
30.0,24.0,-2.67318007665,0.525290627493
30.0,22.5,-2.57976284587,0.593914807587
30.0,21.0,-2.47819672133,0.669092699053
30.0,19.5,-2.37248908299,0.749224893058
30.0,18.0,-2.29671232879,0.833184431961
30.0,16.5,-2.24133971294,0.920232412925
30.0,15.0,-2.17958333335,1.00986737407
30.0,13.5,-2.17520958086,1.1016783823
30.0,12.0,-2.11469135804,1.19543909298
30.0,10.5,-2.06823529414,1.2909058647
30.0,9.0,-1.96347826089,1.38786303834
30.0,7.5,-1.9041758242,1.48622919003
30.0,1.875,-3.91500000002,1.87734496532
30.0,0.9375,-4.68000000002,1.94609631361
30.0,0.46875,-4.58363636366,1.97897144691
30.0,0.234375,-5.07636363638,1.99716971936
60.0,54.0,-4.09588688948,1.12723459276
60.0,51.0,-3.90816216218,1.20820158134
60.0,48.0,-3.79446575344,1.31406538248
60.0,45.0,-3.66515235459,1.44095274706
60.0,42.0,-3.49846607672,1.58524028368
60.0,39.0,-3.37914373091,1.7434862584
60.0,36.0,-3.26987096776,1.91343877342
60.0,33.0,-3.17024390246,2.09323435412
60.0,30.0,-3.17390681006,2.2811971817
60.0,27.0,-3.07258064518,2.47682544796
60.0,24.0,-2.9543497758,2.67888559628
60.0,21.0,-3.01068062829,2.88697487448
60.0,18.0,-2.88060975612,3.09997331224
60.0,15.0,-2.75686567166,3.31760743911
60.0,3.75,-5.20800000002,4.22816647175
60.0,1.875,-6.66758620692,4.40511793823
60.0,0.9375,-6.80363636365,4.48441665621
60.0,0.46875,-6.71384615386,4.52193418829
125.0,112.5,-5.90812834226,3.28358656298
125.0,106.25,-5.6470809793,3.42439065852
125.0,100.0,-5.46161958571,3.61827661501
125.0,93.75,-5.23788053952,3.86317605409
125.0,87.5,-5.07614604464,4.15244022871
125.0,81.25,-4.87028077756,4.483281418
125.0,75.0,-4.68414253899,4.84971399743
125.0,68.75,-4.55846889954,5.24671727079
125.0,62.5,-4.56279301748,5.67049415077
125.0,56.25,-4.44157746481,6.12147441807
125.0,50.0,-4.25893081763,6.59515703417
125.0,43.75,-4.272398524,7.09001667694
125.0,37.5,-4.17016393445,7.60393941517
125.0,31.25,-4.06142857145,8.13559730749
125.0,12.5,-6.69230769233,10.0189611084
125.0,7.8125,-8.21076923079,10.5876253615
125.0,3.90625,-9.77400000002,11.0852521913
125.0,1.953125,-9.26769230771,11.2537813301
125.0,0.9765625,-9.74352941178,11.3851040892
250.0,225.0,-8.36145545799,9.05195781481
250.0,212.5,-7.96807436921,9.26154620987
250.0,200.0,-7.70663129975,9.58150622538
250.0,187.5,-7.44495912808,10.0204658521
250.0,175.0,-7.18515021461,10.5760086476
250.0,162.5,-6.9407656968,11.2420757564
250.0,150.0,-6.67965023849,12.013927355
250.0,137.5,-6.56391891894,12.8742241426
250.0,125.0,-6.38182468696,13.8287723086
250.0,112.5,-6.30019646367,14.8643187232
250.0,100.0,-6.12374164813,15.9790149524
250.0,87.5,-5.91007672636,17.1634996051
250.0,75.0,-5.89274285716,18.4204904161
250.0,62.5,-5.9084671533,19.7490167827
250.0,15.625,-12.0025,26.3741394912
250.0,7.8125,-13.918,27.7883175699
250.0,3.90625,-13.4123809524,28.2013631981
250.0,1.953125,-12.174,28.2054568912
500.0,450.0,-11.8177422222,24.7781511572
500.0,425.0,-11.287754717,24.863444061
500.0,400.0,-10.9209962406,25.2104090629
500.0,375.0,-10.5243368829,25.8857401916
500.0,350.0,-10.1565217391,26.8906508503
500.0,325.0,-9.75918015104,28.2425494483
500.0,300.0,-9.39025813694,29.9211354916
500.0,275.0,-9.18370192309,31.8905497072
500.0,250.0,-9.06421446386,34.162978453
500.0,225.0,-8.83193820227,36.7378373706
500.0,200.0,-8.60660347553,39.5774531141
500.0,175.0,-8.57467391306,42.6724975201
500.0,150.0,-8.3136863544,45.9876686419
500.0,125.0,-8.3592820513,49.5525656126
500.0,50.0,-12.5136363637,62.6278765124
500.0,31.25,-17.638125,68.0270628991
500.0,15.625,-19.6847619048,71.847912397
500.0,7.8125,-18.8933333333,72.8031075728
500.0,3.90625,-19.7563636364,73.9730079707
1000.0,900.0,-16.7153059937,66.4870040445
1000.0,850.0,-15.9565824468,65.1071875906
1000.0,800.0,-15.4443617021,64.5419457141
1000.0,750.0,-14.8689312458,65.1159770723
1000.0,700.0,-14.356409156,66.8121675445
1000.0,650.0,-13.8499003832,69.6999622154
1000.0,600.0,-13.3287955626,73.7665569918
1000.0,550.0,-13.0067006803,78.8675040073
1000.0,500.0,-12.8392021277,84.9962101899
1000.0,450.0,-12.4951881188,92.1244203043
1000.0,400.0,-12.3061862528,100.103730742
1000.0,350.0,-12.0000508259,108.854891459
1000.0,300.0,-11.8812068966,118.323131029
1000.0,250.0,-11.6895748614,128.41829923
1000.0,62.5,-23.6244444445,177.7540677
1000.0,31.25,-27.068,188.718016181
1000.0,15.625,-27.0955102041,192.595936109
1000.0,7.8125,-26.4276190476,193.83105156
