iterNum, tau_P, tau_M, pixel_radius, pixel_height, sigma_LMS, sigma_thetai, sigma_phii, matrixErr
0, 10.0, 8.0, 0.5, 0.0078125, 0.001, 0.01, 0.01, 2872.40288845
1, 10.0, 8.0, 0.5, 0.0078125, 0.001, 0.009, 0.01, 2806.72792331
2, 10.0, 8.0, 0.5, 0.0078125, 0.001, 0.009, 0.01, 2806.72792331
3, 10.0, 8.0, 0.5, 0.0078125, 0.001, 0.009, 0.01, 2806.72792331
4, 10.0, 8.0, 0.5, 0.0078125, 0.001, 0.009, 0.01, 2806.72792331
5, 10.0, 8.0, 0.5, 0.0078125, 0.001, 0.009, 0.01, 2806.72792331
6, 10.0, 8.0, 0.5, 0.0078125, 0.001, 0.009, 0.01, 2806.72792331
7, 10.0, 8.0, 0.5, 0.0078125, 0.001, 0.009, 0.01, 2806.72792331
8, 10.0, 8.0, 0.5, 0.0078125, 0.001, 0.009, 0.01, 2806.72792331
9, 10.0, 8.0, 0.5, 0.0078125, 0.001, 0.009, 0.01, 2806.72792331
10, 10.0, 8.0, 0.5, 0.0078125, 0.001, 0.009, 0.01, 2806.72792331
11, 10.0, 8.0, 0.5, 0.0078125, 0.001, 0.009, 0.01, 2806.72792331
12, 10.0, 8.0, 0.5, 0.0078125, 0.001, 0.009, 0.01, 2806.72792331
13, 10.0, 8.0, 0.5, 0.0078125, 0.001, 0.009, 0.01, 2806.72792331
14, 10.0, 8.0, 0.5, 0.0078125, 0.001, 0.009, 0.01, 2806.72792331
15, 10.0, 8.0, 0.5, 0.0078125, 0.001, 0.009, 0.01, 2806.72792331
16, 10.0, 8.0, 0.5, 0.0078125, 0.001, 0.009, 0.01, 2806.72792331
17, 10.0, 8.0, 0.5, 0.0078125, 0.001, 0.009, 0.01, 2806.72792331
18, 10.0, 8.0, 0.5, 0.0078125, 0.001, 0.009, 0.01, 2806.72792331
19, 10.0, 8.0, 0.5, 0.0078125, 0.001, 0.009, 0.01, 2806.72792331
20, 10.0, 8.0, 0.5, 0.0078125, 0.001, 0.009, 0.01, 2806.72792331
